Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
317,60,85,1308,FALSE,1.5,0,25/05/2026 14:24,FALSE,0,1,93,30.1,2739,,1.4,13,25/05/2026 15:10,FALSE,0,1,340DB72E,93,2,14,GF,60/85,1028,1028,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
280,28.2,0,3,0.84,0.22,0,0,12,1,0,16,FALSE,TRUE,0,0,0,0,200,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
290,27.6,0,3,0.82,0.22,0,0,12,1,0,15,FALSE,TRUE,0,0,0,0,200,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
300,27.8,0,3,0.83,0.22,0,0,12,1,0,15,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
310,27.9,0,3,0.83,0.22,0,0,11,1,0,15,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
320,27.9,0,3,0.83,0.22,0,0,12,1,0,15,FALSE,TRUE,0,0,0,0,200,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
330,28.4,0,3,0.84,0.22,0,0,11,1,0,15,FALSE,TRUE,0,0,0,0,200,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
340,28.5,0,3,0.84,0.22,0,0,10,1,0,15,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
350,28.6,0,3,0.85,0.22,0,0,10,1,0,14,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
360,28.3,0,3,0.84,0.22,0,0,10,1,0,14,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
370,28.2,0,3,0.84,0.22,0,0,10,1,0,14,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
380,27.7,0,3,0.83,0.22,0,0,11,1,0,14,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
390,27.7,0,3,0.83,0.22,0,0,10,1,0,13,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
400,27.1,0,3,0.82,0.22,0,0,10,1,0,13,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
410,26.5,0,3,0.8,0.22,0,0,11,1,0,13,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
420,27.6,0,3,0.82,0.22,0,0,11,1,0,13,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
430,28,0,3,0.83,0.22,0,0,10,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
440,28.5,0,3,0.84,0.22,0,0,9,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
450,28.3,0,3,0.84,0.22,0,0,9,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
460,27.9,0,3,0.83,0.22,0,0,9,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
470,27.2,0,3,0.81,0.22,0,0,9,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
480,26.6,0,3,0.8,0.22,0,0,10,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
490,26,0,3,0.79,0.22,0,0,11,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
